"SStime","noSStime"
26.9,24.7
28.4,19.1
23.9,21
21.8,17.8
22.4,22.8
25.9,24.4
26.5,17.9
20,20.5
23.7,20
23.7,26.2
22.6,14.5
19.4,22.4
27.3,21.1
25.3,24.3
27.7,22
25.3,24.3
28.4,23.9
24.2,19.6
20.4,23.8
29.6,29.2
27,19.7
23.6,20.9
18.3,25.2
28.1,22.5
20.5,23.1
24.1,NA
27.2,NA
26.4,NA
24.5,NA
25.6,NA
17.9,NA
23.5,NA
25.3,NA
20.2,NA
26.3,NA
27.9,NA
