"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"620",6376373,"Waterfront Pearl District Condo!",5744484,"Lisa And Bill",NA,"Old Town/Chinatown",45.5276,-122.67334,"Entire home/apt",75,30,0,"",NA,1,365
"621",6377701,"Banana Grove Garden Room",21504692,"Lori",NA,"Concordia",45.5665,-122.62503,"Private room",400,1,26,"2020-01-31",0.42,1,0
"622",6385438,"Private North Portland Apartment with Fenced Yard",6659695,"Matthew",NA,"Piedmont",45.5744,-122.67764,"Entire home/apt",70,3,68,"2020-03-21",1.09,1,352
"623",6389334,"Lady Bluebird Converted Bus in NoPo",650158,"Amy",NA,"Piedmont",45.56708,-122.66588,"Entire home/apt",90,1,537,"2020-06-25",8.7,1,329
"624",6402773,"The Hawthorne Hideaway",16113117,"Kristen",NA,"Buckman",45.51423,-122.65007,"Entire home/apt",109,2,215,"2020-03-07",3.45,3,312
"625",6410081,"Gorgeous, spacious downtown condo",2393160,"Tom",NA,"Goose Hollow",45.52159,-122.69663,"Entire home/apt",320,30,248,"2020-03-02",4.05,2,355
"626",6426117,"Lovely 2BD Bungalow: Entire Home w/ Fireplace",347470,"Daniel And Tori",NA,"Cully",45.56536,-122.60991,"Entire home/apt",95,3,8,"2019-11-30",0.14,2,0
"627",6426141,"Cozy Room (with Bicycles!)",347470,"Daniel And Tori",NA,"Cully",45.56523,-122.61129,"Private room",60,2,226,"2019-12-12",3.65,2,0
"628",6433274,"Historic Home - Walk to Hawthorne!",32342870,"Stephen",NA,"Hosford-Abernethy",45.50976,-122.65401,"Entire home/apt",120,1,288,"2020-06-15",4.61,1,266
"629",6463177,"Spacious 2 bdrm/W Loft&Finished Basement/Sleeps 9",28466047,"Craig",NA,"Woodstock",45.47568,-122.61841,"Entire home/apt",199,2,210,"2020-02-19",3.38,1,350
"630",6481776,"Weird PDX - Kid-friendly Inner NE Bungalow",27868709,"Alanna (Miel)",NA,"King",45.55059,-122.65987,"Entire home/apt",295,365,140,"2019-11-30",2.27,1,0
"631",6538296,"Cozy Apartment in NE Portland",5788419,"Rebecca & Max",NA,"Montavilla",45.53493,-122.58918,"Entire home/apt",70,30,204,"2020-06-03",3.29,2,122
"632",6541045,"quirky/cozy/historic: front room",2416754,"Leah & David",NA,"Brooklyn Action Corps",45.49573,-122.65321,"Private room",60,30,342,"2019-10-31",5.6,2,0
"633",6545849,"Plum Room, Hummingbird Farm",14954072,"Inge",NA,"Kerns",45.52753,-122.63248,"Private room",75,1,117,"2020-06-15",1.9,1,3
"634",6555772,"Family friendly, Walk to food, close to downtown!",34286584,"Kristy",NA,"Foster-Powell",45.49301,-122.5958,"Entire home/apt",300,3,67,"2019-12-02",1.15,1,39
"635",6560720,"Victorian charm with new bathroom sleeps 6!",3440675,"Juliet",NA,"Northwest District",45.53139,-122.6999,"Entire home/apt",110,1,280,"2020-06-07",4.55,1,337
"636",6574942,"Hip & Modern on SE Division St - Foodie Paradise!",34389732,"Eric & Sarah",NA,"Hosford-Abernethy",45.50545,-122.64206,"Entire home/apt",175,3,48,"2019-11-30",0.8,1,32
"637",6599733,"NE Portland Beauty",6621463,"Luke & Rachael",NA,"Roseway",45.55456,-122.58602,"Entire home/apt",155,3,27,"2019-08-31",0.44,1,188
"638",6623648,"Alberta Arts Private Studio PDX - We Disinfect!",34220164,"Amanda And Gabe",NA,"Concordia",45.56184,-122.64139,"Entire home/apt",75,1,253,"2020-07-03",4.26,1,164
"639",6640336,"Alberta Arts Chic! 30 steps to Heart of Alberta",33211944,"Nell",NA,"Vernon",45.55824,-122.64596,"Private room",69,1,134,"2020-03-13",2.16,1,217
"640",6642315,"Waterfall Guesthouse - Private Tiny House",2447810,"Venessa",NA,"Woodlawn",45.57153,-122.65468,"Entire home/apt",65,2,321,"2020-05-14",5.75,1,17
"641",6672140,"Skyline Lodge by the City (Concierge Available)",19812376,"Mark",NA,"Northwest Heights",45.55016,-122.77734,"Entire home/apt",498,3,22,"2018-07-28",0.36,1,364
"642",6675939,"Cozy and quiet, Goose Hollow condo",2393160,"Tom",NA,"Goose Hollow",45.52248,-122.69496,"Entire home/apt",125,30,92,"2017-01-20",1.49,2,68
"643",6686408,"Woodlawn Haven - 2 Comfy Rooms + Bath in Nice Home",16238657,"Rick",NA,"Woodlawn",45.57345,-122.6491,"Private room",65,30,44,"2019-06-25",0.71,1,365
"644",6692401,"Hawthorne District Cozy Apartment",35028893,"Lindy",NA,"Richmond",45.51003,-122.6328,"Entire home/apt",80,3,218,"2020-07-01",3.58,1,345
"645",6693492,"Charming Mt. Tabor Victorian",18894382,"Eric",NA,"Mt. Tabor",45.51889,-122.60698,"Entire home/apt",120,3,6,"2015-08-22",0.1,1,188
"646",6700890,"Touch of French in SE Clinton",28009699,"Yvonne",NA,"Hosford-Abernethy",45.50323,-122.64122,"Private room",69,2,65,"2019-07-21",1.05,2,365
"647",6731334,"Hot & Chic Mississippi District -Fresh, Bright & Modern Bungalow",1150082,"Michelle",NA,"Humboldt",45.55695,-122.67431,"Entire home/apt",453,1,33,"2020-03-08",0.55,6,302
"648",6749129,"Spacious Vintage Bungalow on Tree Lined Street",5532704,"Jana",NA,"Piedmont",45.57104,-122.67632,"Entire home/apt",195,2,54,"2019-12-27",0.89,2,15
"649",6768542,"Hawthorne - Simple room in amazing location!",34873260,"Nannette",NA,"Mt. Tabor",45.50974,-122.60596,"Private room",36,24,101,"2020-02-23",1.64,2,71
"650",6777992,"Cozy Home in Historic Irvington",35482861,"Hunter",NA,"Irvington",45.53733,-122.65645,"Entire home/apt",140,2,174,"2020-05-20",2.85,1,260
"651",6799955,"Historic Private One Bedroom Condo",35596135,"Anisha",NA,"Goose Hollow",45.52165,-122.69614,"Entire home/apt",40,30,18,"2017-06-01",0.29,1,0
"652",6800559,"The Alberta Arts Carriage House",35600865,"William",NA,"Concordia",45.55886,-122.64059,"Entire home/apt",99,2,687,"2020-07-02",11.39,1,70
"653",6811607,"LUX Lava Lounge in downtown Kenton.",1495776,"Stacy",NA,"Kenton",45.58386,-122.68417,"Entire home/apt",90,30,1,"2015-07-25",0.02,1,270
"654",6820353,"Portlandia Pad",35716158,"Sarah",NA,"Buckman",45.51453,-122.64796,"Entire home/apt",65,2,219,"2020-03-20",3.57,1,70
"655",6836255,"Portland Getaway",35819516,"Petra",NA,"Portland Downtown",45.51731,-122.68542,"Entire home/apt",149,30,139,"2020-03-02",2.26,1,332
"656",6836688,"Sweet Garden Perch! Ideal Spot.",6744152,"Greg And Jen",NA,"Hosford-Abernethy",45.50125,-122.64217,"Entire home/apt",119,3,227,"2020-04-10",3.75,1,198
"657",6854734,"Daylit basement suite walkable to Alberta Arts",3964256,"Emily",NA,"Vernon",45.56219,-122.65511,"Private room",50,1,52,"2019-10-06",0.85,2,89
"658",6901567,"the PEZ house",5252979,"Kathy",NA,"Overlook",45.5551,-122.68982,"Entire home/apt",95,1,126,"2019-11-29",2.05,1,64
"659",6948271,"Downtown 1876 Historic Gem! Huge Sunny Flat-3 Beds",36429995,"Cheryl And Richard",NA,"South Portland",45.50353,-122.68026,"Entire home/apt",150,2,162,"2020-03-15",3.48,1,34
"660",6951336,"City Lights, Hikes, Sites & Bites",36444548,"Sharon",NA,"Hillside",45.52576,-122.71161,"Entire home/apt",160,2,85,"2020-02-11",1.92,1,155
"661",6967714,"Stunning Modern Home In Trendy & Hip Mississippi District",1150082,"Michelle",NA,"Humboldt",45.55615,-122.67519,"Entire home/apt",527,1,43,"2020-07-03",0.71,6,283
"662",6972166,"Hawthorne Blvd. Home ~ Sweet spot Summer Special",16071458,"ElizaBeth",NA,"Buckman",45.51292,-122.65202,"Private room",50,2,177,"2019-11-17",2.89,1,250
"663",6974214,"Work from Home Paradise 1 block to Kenilworth Park",13818089,"Holly",NA,"Creston-Kenilworth",45.49363,-122.62886,"Entire home/apt",175,2,58,"2020-05-29",1.13,4,237
"664",6974850,"Quiet North Portland Southern Charm",17688915,"Alexi",NA,"University Park",45.58341,-122.73441,"Private room",56,2,146,"2020-05-25",2.41,1,148
"665",6975773,"Spacious Private Portland Getaway",36579710,"Angela",NA,"Argay",45.54904,-122.51454,"Private room",47,2,74,"2020-02-03",1.21,1,188
"666",6976600,"Granny Flat in leafy SW Portland",31117446,"Clare And Mike",NA,"Far Southwest",45.44105,-122.73573,"Entire home/apt",100,1,414,"2020-06-26",9.54,1,348
"667",6978229,"North Portland Bungalow near Max",8610447,"June",NA,"Piedmont",45.57013,-122.67025,"Private room",65,2,138,"2020-06-26",2.26,1,116
"668",6990644,"Modern & Private 1 Bedroom in NE Portland",14933969,"Angela",NA,"Eliot",45.54295,-122.66003,"Entire home/apt",80,2,325,"2020-06-13",5.3,1,46
"669",6991450,"Gorgeous craftsman in Sellwood!",15850938,"Dave",NA,"Sellwood-Moreland Improvement League",45.46609,-122.65746,"Entire home/apt",425,30,13,"2017-07-18",0.21,1,188
"670",6992895,"The Kinley Manor Guest House",4203145,"Rupert Kinnard",NA,"Irvington",45.53515,-122.65655,"Entire home/apt",120,1,281,"2020-06-22",4.6,2,164
"671",6995090,"Hawthorne Craftsman great location!",34873260,"Nannette",NA,"Mt. Tabor",45.50874,-122.60862,"Private room",43,3,109,"2020-03-14",1.79,2,71
"672",7007898,"North Tabor Nest: Beautiful Private Apartment",28771528,"Joseph",NA,"North Tabor",45.52572,-122.60038,"Entire home/apt",90,2,1,"2020-06-01",0.79,1,94
"673",7034268,"Your own 2bedroom Basement w Amenities by airport",14818611,"Cristina",NA,"Roseway",45.55074,-122.59132,"Entire home/apt",99,1,203,"2020-06-21",3.5,2,29
"674",7039107,"Sunny, Private, Elegant---Pet Friendly",36909902,"Jennifer",NA,"Piedmont",45.57773,-122.67565,"Entire home/apt",100,30,1,"2015-08-28",0.02,4,218
"675",7068422,"The Garden House/Cozy Cabin",37060525,"Mari & Zach",NA,"Mt. Tabor",45.51864,-122.6111,"Entire home/apt",94,1,338,"2020-07-04",5.53,1,361
"676",7072485,"Modern Treehouse in Historic Spanish Turret House",373733,"Alex",NA,"Irvington",45.53821,-122.64323,"Entire home/apt",159,1,152,"2020-05-08",2.51,2,145
"677",7074345,"Spacious Modern home in Mississippi Neighborhood",3220022,"Julie",NA,"Boise",45.54984,-122.67675,"Entire home/apt",120,30,41,"2019-08-12",1.08,6,62
"678",7094201,"♥ Urban Loft on Hip Mississippi St!",27974994,"Mel",NA,"Boise",45.55053,-122.67726,"Entire home/apt",99,2,217,"2020-03-13",3.56,4,86
"679",7132347,"New Pine Street Guest Cottage near Laurelhurst Park",34838666,"Michele",NA,"Kerns",45.52086,-122.63603,"Entire home/apt",250,2,297,"2020-05-22",5.02,1,133
"680",7162521,"Studio Apt/Private/Peaceful Mt. Tabor Neighborhood",29874534,"Lisa",NA,"Mt. Tabor",45.50625,-122.60527,"Entire home/apt",50,1,437,"2020-06-23",7.32,1,329
"681",7173741,"Multnomah Gem - stunning, luxurious, mins to dntn",37575586,"Elie",NA,"Multnomah",45.47175,-122.70289,"Entire home/apt",75,1,292,"2020-07-03",4.81,2,155
"682",7202320,"Close-In Division Classic Portland Basement Beauty",37410089,"Tricia",NA,"Hosford-Abernethy",45.50435,-122.65286,"Entire home/apt",65,30,292,"2020-04-11",4.8,1,82
"683",7204252,"Studio • street level • Complete Private Entrance",2751243,"David",NA,"Sunnyside",45.5161,-122.61979,"Entire home/apt",54,1,585,"2020-05-24",9.65,2,0
"684",7207295,"Scandinavian-modern private studio",1312929,"Kara",NA,"Roseway",45.55367,-122.59765,"Entire home/apt",90,2,99,"2020-05-31",1.73,1,265
"685",7224016,"Purple House PDX- HUGE SW Apt. 10-15 min to town",5401489,"Rachel And Bob",NA,"West Portland Park",45.44396,-122.72649,"Entire home/apt",65,1,201,"2019-12-30",3.98,1,94
"686",7224945,"Hawthorne getaway - 93 walk score",3415282,"Jonathan",NA,"Sunnyside",45.51422,-122.61979,"Entire home/apt",199,1,67,"2019-12-29",1.11,1,0
"687",7225293,"Morel Room @ 1234 HOUSE in SE PDX",30708290,"Evan",NA,"Buckman",45.51504,-122.64652,"Private room",95,7,345,"2020-03-31",5.7,5,341
"688",7228375,"Welcoming 2 Bedroom, pet friendly",34867239,"Jacci",NA,"Creston-Kenilworth",45.49507,-122.63802,"Entire home/apt",128,2,189,"2019-09-02",3.16,1,51
"689",7228938,"Mill Room @ 1234 HOUSE in SE PDX",30708290,"Evan",NA,"Buckman",45.513,-122.64671,"Private room",90,7,303,"2020-03-12",5,5,341
"690",7231930,"Cornur Room @ 1234 HOUSE in SE PDX",30708290,"Evan",NA,"Buckman",45.51425,-122.64597,"Private room",59,7,296,"2020-03-15",4.87,5,341
"691",7245156,"Quarantine Retreat",1825887,"Danielle",NA,"Richmond",45.50887,-122.61363,"Entire home/apt",99,2,396,"2020-06-15",6.54,1,327
"692",7246397,"Renovated Alberta Arts Sun-Filled Tiny House",12923876,"Lee",NA,"Sabin",45.55607,-122.65131,"Entire home/apt",75,1,414,"2020-07-05",6.88,1,68
"693",7279243,"Charming Studio in SE PDX",38113379,"Kurt & Nathalie",NA,"Richmond",45.50163,-122.63397,"Entire home/apt",80,2,324,"2020-03-28",5.68,1,300
"694",7292504,"Saratoga Sweetness: cozy, quiet with private bath.",36446072,"Pamela",NA,"Arbor Lodge",45.57294,-122.68823,"Private room",61,1,151,"2020-03-15",2.51,2,345
"695",7305999,"Cozy & Convenient On Alberta St.",38271890,"Emilio",NA,"Overlook",45.55838,-122.68029,"Private room",62,30,17,"2017-08-26",0.28,1,364
"696",7306668,"Cute Victorian in Cathedral Park",38273321,"Laura",NA,"Cathedral Park",45.58652,-122.74754,"Private room",45,2,92,"2020-07-05",1.98,1,179
"697",7306750,"Artist haven/historic Laurelhurst",22112041,"Dona",NA,"Laurelhurst",45.51985,-122.61936,"Entire home/apt",95,2,88,"2020-06-29",1.49,2,358
"698",7311095,"Concordia Hideaway in Alberta Arts",17685915,"Jessica & Drew",NA,"Concordia",45.56279,-122.6308,"Entire home/apt",54,1,292,"2020-03-16",4.82,1,0
"699",7320844,"The Cedar Cottage",2135653,"John And Fran",NA,"Mt. Tabor",45.50845,-122.6092,"Entire home/apt",85,2,587,"2020-05-25",9.9,1,145
"700",7398659,"Sunnyside Studio",6465877,"Todd & Lea",NA,"Sunnyside",45.51905,-122.61938,"Entire home/apt",70,7,268,"2020-06-03",4.43,1,19
"701",7402080,"Cozy Close-in North Portland Studio",2023949,"Anna",NA,"Arbor Lodge",45.56913,-122.69097,"Entire home/apt",62,2,264,"2020-03-16",4.43,1,112
"702",7402205,"Cozy Cully Charmer",18512491,"Keri",NA,"Cully",45.55591,-122.6051,"Private room",34,2,70,"2020-05-22",1.22,2,302
"703",7422143,"S.E. Portland Division/Clinton",18830,"Dosia",NA,"Hosford-Abernethy",45.50378,-122.65048,"Private room",45,1,246,"2020-03-17",4.08,1,0
"704",7429660,"Two bedroom entire home Mt. Tabor",1377982,"Amanda",NA,"Mt. Tabor",45.50877,-122.60761,"Entire home/apt",225,3,43,"2019-12-01",0.72,1,0
"705",7432474,"Spacious Woodlawn Suite",38932489,"Greg & Mallory",NA,"Woodlawn",45.57347,-122.64356,"Entire home/apt",71,1,436,"2020-05-01",7.66,1,315
"706",7452129,"New 1bd/1 BA Across from Park",39028080,"Geoff",NA,"Sellwood-Moreland Improvement League",45.46932,-122.6599,"Entire home/apt",90,3,7,"2019-07-14",0.12,1,313
"707",7500148,"Sunny SE Home - Walk Everywhere!",1202072,"Katrina",NA,"Richmond",45.50392,-122.61803,"Entire home/apt",120,3,67,"2019-12-27",1.11,1,0
"708",7510884,"Master Suite close to downtown!",16351508,"Alan",NA,"Hillsdale",45.46686,-122.69568,"Private room",60,2,301,"2020-06-28",5.11,1,359
"709",7547444,"Near Oregon Convention Center",1770933,"Anastasia",NA,"Sullivan's Gulch",45.53224,-122.64542,"Private room",47,30,284,"2020-02-17",4.72,1,365
"710",7548099,"Ground Floor Studio",9540594,"Kimberly",NA,"Richmond",45.51122,-122.6189,"Entire home/apt",100,1,27,"2020-06-30",0.45,1,334
"711",7561115,"Modern Love - Heart of Mississippi",3173548,"Stacey",NA,"Boise",45.55363,-122.67467,"Entire home/apt",100,1,313,"2020-07-05",6.31,1,348
"712",7564968,"Private & Bright Alberta Arts Studio",35835651,"Jacob And Tien",NA,"King",45.5593,-122.65445,"Entire home/apt",62,5,182,"2020-03-07",3.04,1,54
"713",7566204,"Bud & Breakfast: Garden Suite 2",13611696,"John",NA,"Arbor Lodge",45.57502,-122.69468,"Private room",59,1,49,"2019-10-13",0.82,2,321
"714",7616616,"Modern Rustic Zen  SE Studio Loft",23836921,"Jennifer",NA,"Brentwood-Darlington",45.46624,-122.59699,"Entire home/apt",52,30,63,"2020-02-26",1.05,2,177
"715",7620997,"Bright, Spacious Heart of Portland",18590525,"Tom",NA,"Richmond",45.51068,-122.63318,"Private room",60,1,358,"2020-06-28",5.97,4,71
"716",7644915,"Lovely Northeast Portland Oasis",19538819,"Louise",NA,"Grant Park",45.53756,-122.63737,"Entire home/apt",125,5,60,"2020-03-08",1.08,1,270
"717",7650094,"Furnished Condo in heart of the Alphabet District",1197719,"Nora",NA,"Northwest District",45.52474,-122.68679,"Entire home/apt",100,30,5,"2019-08-28",0.14,1,348
"718",7665052,"""Glamping in the city"" in Portland Oregon",26562145,"Carrie And Brian",NA,"Sunnyside",45.5134,-122.63054,"Entire home/apt",87,2,121,"2020-05-24",2.1,1,348
"719",7678990,"Yellow Door / Heart of NW District /  Free Parking",33149703,"Beau",NA,"Northwest District",45.5274,-122.69694,"Entire home/apt",129,5,227,"2020-06-30",3.93,1,199
"720",7679227,"Mid Century View Ranch w/ Covered Deck & Fireplace",2000049,"Adam",NA,"Sylvan-Highlands",45.51354,-122.73647,"Entire home/apt",425,2,90,"2020-03-08",1.56,1,190
"721",7693459,"Cozy Williams/Mississippi Studio",37727048,"Cameron",NA,"Eliot",45.54808,-122.66643,"Entire home/apt",79,2,180,"2019-12-09",3.01,1,0
"722",7699029,"Sunny Quiet Bsmnt Suite Apt 1000 Sq ft, Priv Entry",38953564,"Casey & Berdell",NA,"Parkrose",45.5476,-122.54727,"Entire home/apt",91,14,144,"2020-05-16",2.41,1,329
"723",7701258,"Renovated Restaurant Row Bungalow Home",40454925,"Jack",NA,"Kerns",45.5247,-122.64128,"Entire home/apt",150,2,110,"2020-06-29",2.2,1,167
"724",7717751,"Private Daylight Basement Suite with own Entrance",12065890,"Chris",NA,"Creston-Kenilworth",45.49203,-122.60698,"Entire home/apt",40,2,69,"2020-03-17",1.41,1,0
"725",7729130,"Magic Barn",26822355,"Todji, Gisele And Hobie",NA,"Richmond",45.50802,-122.62213,"Entire home/apt",188,1,594,"2020-06-28",9.97,4,153
"726",7742153,"Classic Portland Walk-up - NW 23rd",4226164,"Maria",NA,"Northwest District",45.53334,-122.69844,"Entire home/apt",82,3,240,"2020-07-06",4.02,2,16
"727",7743660,"Light-filled Craftsman Loft in Arbor Lodge",20590539,"Zach",NA,"Arbor Lodge",45.56961,-122.69312,"Entire home/apt",90,5,192,"2020-06-11",3.22,1,51
"728",7750655,"Private Light Filled NEPO Bungalow",11372350,"Deidre",NA,"Rose City Park",45.54678,-122.60825,"Entire home/apt",90,1,378,"2020-03-09",6.54,1,7
"729",7759293,"Spacious & Modern Condo with a View",40797997,"Alissa",NA,"Linnton",45.58943,-122.7757,"Entire home/apt",110,30,51,"2019-08-09",0.87,1,365
"730",7764019,"Private Studio with Kitchenette",40829795,"Colleen",NA,"Beaumont-Wilshire",45.54429,-122.6165,"Private room",59,1,111,"2020-05-13",1.86,3,341
"731",7775030,"Remarkable Value, Good Location, Comfy & Clean",40900726,"Ron",NA,"Lents",45.46466,-122.55739,"Private room",48,6,15,"2020-01-28",0.31,1,104
"732",7776074,"Bright, Spacious Inner SE Studio",40908943,"Donna",NA,"Richmond",45.50051,-122.61437,"Entire home/apt",95,3,236,"2020-06-08",3.98,1,2
"733",7790853,"Charming craftsman blocks from Univ",13938342,"Erin",NA,"Portsmouth",45.58376,-122.72687,"Entire home/apt",89,1,72,"2020-03-01",1.21,1,340
"734",7793437,"Alberta Arts Bungalow",11159584,"Scott",NA,"Vernon",45.56573,-122.65006,"Private room",39,4,90,"2020-02-20",1.72,1,249
"735",7804446,"Charming 1900's Home in NEPO!",41082680,"Michelle",NA,"King",45.54845,-122.65586,"Entire home/apt",1000,30,269,"2019-06-30",5.22,1,89
"736",7818704,"2 Bedrooms In Lovely Small House Near Division St",41163295,"Leah",NA,"Richmond",45.50026,-122.6341,"Entire home/apt",160,21,38,"2019-12-01",0.81,1,78
"737",7837939,"Close To Everything-Private Apt.",344295,"Kim & Richard",NA,"Irvington",45.53607,-122.65376,"Entire home/apt",92,2,262,"2020-06-05",4.46,1,36
"738",7839655,"Stunning Guest House w/Loft: Restaurants & Shops!",1965971,"Laurel & Brian",NA,"Richmond",45.50621,-122.61219,"Entire home/apt",110,7,287,"2020-03-20",5.87,1,184
"739",7885712,"Hawthorne Wisteria Retreat",41571033,"Sari",NA,"Hosford-Abernethy",45.50948,-122.64179,"Entire home/apt",109,1,434,"2020-05-09",7.44,1,341
"740",7915941,"Newly Remodeled, Modern Retreat",32847442,"Ryan",NA,"Arbor Lodge",45.56841,-122.69756,"Entire home/apt",179,1,151,"2020-06-07",3.9,1,326
"741",7918004,"Country Oasis In The City",13362137,"David",NA,"Arnold Creek",45.44467,-122.69754,"Private room",79,2,87,"2020-06-01",2.15,1,88
"742",7922813,"Private Penthouse, Heart of Portland!",41780011,"Ariel",NA,"Kerns",45.52021,-122.63518,"Entire home/apt",95,1,42,"2020-07-06",0.71,3,133
"743",7924119,"Big Studio in the Heart of Portland with Garden",41780011,"Ariel",NA,"Kerns",45.52015,-122.63537,"Private room",85,1,25,"2020-05-15",0.42,3,365
"744",7933637,"Beautiful Cozy Modern Wooded Retreat Near Downtown",41835206,"Andi",NA,"Hillsdale",45.48236,-122.68615,"Entire home/apt",179,3,51,"2019-12-01",1.03,2,339
"745",7966515,"Private 2 bedroom, 1 bath unit near downtown",36636311,"Aaron & Jess",NA,"Overlook",45.56434,-122.684,"Entire home/apt",105,1,85,"2020-06-24",1.47,1,136
"746",7982803,"Spacious, Perched & Private in Hip Belmont area",1442365,"Angel & Vikrant",NA,"Sunnyside",45.5183,-122.62608,"Entire home/apt",111,3,249,"2020-03-14",4.21,1,2
"747",8015502,"Comfy 55' Atomic Ranch House",25141546,"Jennifer",NA,"Montavilla",45.50486,-122.57869,"Entire home/apt",100,30,3,"2019-08-12",0.25,1,0
"748",8015598,"Quiet Retreat Steps from Bustling NE Broadway",3849293,"Jim",NA,"Irvington",45.53723,-122.64606,"Entire home/apt",155,1,211,"2020-04-03",5.15,1,277
"749",8015822,"A warm and welcoming retreat",24273359,"Erik",NA,"Woodstock",45.46595,-122.61814,"Private room",58,30,40,"2018-09-07",0.67,1,365
"750",8035910,"RATE SLASHED on Long Term Luxury in the Pearl",42431331,"Terri",NA,"Pearl",45.52619,-122.68042,"Entire home/apt",125,30,8,"2020-05-19",0.3,1,319
"751",8035987,"Lark About Downtown from Here!",42139754,"Lee Wyatt",NA,"Portland Downtown",45.51639,-122.68511,"Entire home/apt",250,30,54,"2017-08-21",0.93,1,365
"752",8051993,"North Tabor Victorian/Modern 2BD",1735359,"Matthew",NA,"North Tabor",45.52644,-122.60868,"Entire home/apt",150,2,304,"2020-06-19",5.18,1,206
"753",8053707,"Sunny bedrooms  Craftsman style home NW Portland",42533657,"Joan",NA,"Northwest District",45.5316,-122.70228,"Private room",85,2,16,"2020-02-18",0.28,2,365
"754",8069102,"Tranquil Lower Unit with Private Bathroom",42609088,"Christopher",NA,"Creston-Kenilworth",45.49281,-122.63493,"Private room",49,1,138,"2020-03-06",2.33,1,280
"755",8072092,"Designer's Home in Rose Garden!",27974994,"Mel",NA,"Piedmont",45.56988,-122.6687,"Entire home/apt",139,30,114,"2020-04-30",1.95,4,18
"756",8082095,"Historic 1892 Victorian with decks and garden",5055793,"Elliott",NA,"South Portland",45.50008,-122.67664,"Entire home/apt",185,2,86,"2019-09-01",1.46,1,279
"757",8087490,"Victorian duplex in Mount Tabor",42709247,"Anne",NA,"Mt. Tabor",45.52092,-122.60652,"Entire home/apt",125,30,1,"2015-09-07",0.02,1,310
"758",8091957,"Cozy Craftsman Bungalow near Alberta Arts",825420,"Kalen",NA,"Woodlawn",45.56914,-122.6441,"Private room",39,30,14,"2019-08-01",0.24,1,155
"759",8111816,"Charming Victorian, Modern Twist",38802394,"Dona",NA,"South Portland",45.49669,-122.67506,"Entire home/apt",89,60,35,"2017-03-29",0.63,1,155
"760",8118223,"Spacious & Stylish Portland  Beauty! Close-in!",1022102,"Laura",NA,"Overlook",45.55098,-122.68323,"Entire home/apt",225,2,181,"2020-07-05",3.08,1,351
"761",8126673,"Close in NE Portland private room",2820691,"Tracy",NA,"Alameda",45.54457,-122.62507,"Private room",50,30,65,"2018-10-17",1.12,1,365
"762",8128134,"Dog Friendly NE Portland House - High walkability!",3200280,"Linda",NA,"Rose City Park",45.53686,-122.60204,"Entire home/apt",200,30,6,"2019-12-25",0.26,1,0
"763",8133872,"Private Efficiency Apt SE Portland",42953034,"Elizabeth",NA,"Foster-Powell",45.49368,-122.58262,"Entire home/apt",56,1,257,"2020-03-15",4.63,1,0
"764",8149676,"Sweet, Quiet NE Apt. w/King Bed",869605,"Danny",NA,"Irvington",45.53882,-122.64444,"Entire home/apt",94,2,128,"2020-07-05",2.22,1,245
"765",8161895,"Safety First! Light Rail! Perfect Location!",4784499,"Gayle & Bill",NA,"Overlook",45.55018,-122.68215,"Entire home/apt",77,2,205,"2020-01-24",3.48,1,232
"766",8170853,"Fun on Fremont",13818089,"Holly",NA,"Beaumont-Wilshire",45.55144,-122.61547,"Entire home/apt",150,3,16,"2019-12-02",0.29,4,0
"767",8191940,"Private mini house in PDX!",43209789,"Tiger",NA,"Woodstock",45.47822,-122.61167,"Private room",40,2,46,"2020-03-15",0.79,1,60
"768",8194988,"Stylish, Lovely Bungalow w/ free parking",13303946,"Satish",NA,"Rose City Park",45.53385,-122.61351,"Entire home/apt",109,1,161,"2020-06-14",2.73,1,40
"769",8222479,"quirky/cozy/historic: back room",2416754,"Leah & David",NA,"Brooklyn Action Corps",45.49577,-122.65313,"Private room",64,30,356,"2019-10-21",6.04,2,0
"770",8227851,"Piedmont backyard cottage",6024930,"Emily",NA,"Piedmont",45.57233,-122.67651,"Entire home/apt",92,2,196,"2020-06-29",3.41,1,323
"771",8236018,"Woodstock modern apartment",15280606,"Kathleen",NA,"Brentwood-Darlington",45.46647,-122.61364,"Entire home/apt",90,2,212,"2020-06-28",3.8,1,52
"772",8241423,"Dotty the House! Heart of Inner SE - Division",3141095,"Lasse",NA,"Hosford-Abernethy",45.50267,-122.64365,"Entire home/apt",99,1,392,"2020-07-03",6.67,2,58
"773",8252431,"Rocky Butte charm",43519398,"Vicky",NA,"Madison South",45.54859,-122.57033,"Private room",42,1,338,"2020-06-13",5.78,1,356
"774",8256301,"NW 23rd (Nob Hill) - Cozy Apartment",37100855,"Joshua",NA,"Northwest District",45.52799,-122.69693,"Entire home/apt",175,1,384,"2020-06-07",6.65,2,143
"775",8257424,"Cozy Cottage in NE Portland",15406961,"Rebecca",NA,"Cully",45.5553,-122.61156,"Entire home/apt",135,2,59,"2020-02-17",1.04,1,258
"776",8286067,"Charming & Spacious 3BD downtown!",2425448,"Gabe",NA,"Northwest District",45.52551,-122.69499,"Entire home/apt",179,1,520,"2020-04-02",8.9,1,177
