"Team","Wage.Bill.milGBP","Points"
"Arsenal",124,68
"Aston Villa",83,48
"Birmingham City",38,39
"Blackburn Rovers",50,43
"Blackpool",25,39
"Bolton Wanderers",56,46
"Chelsea",190,71
"Everton",58,54
"Fulham",58,49
"Liverpool",135,58
"Manchester City",174,71
"Manchester United",153,80
"Newcastle United",54,46
"Stoke City",47,46
"Sunderland",61,47
"Tottenham Hotspur",91,62
"West Bromwich Albion",37,47
"West Ham United",56,33
"Wigan Athletic",40,42
"Wolverhampton Wanderers",38,30
